Edition,Position,TrackId,Offset,OffsetType
1999,55,1,0,14
2000,69,1,14,31
2001,63,1,6,30
2002,131,1,68,31
2003,128,1,3,30
2004,153,1,25,31
2005,220,1,67,31
2006,208,1,12,30
2007,229,1,21,31
2008,166,1,63,30
2009,483,1,317,31
2010,459,1,24,30
2011,469,1,10,31
2012,197,1,272,30
2013,581,1,384,31
2014,660,1,79,31
2015,593,1,67,30
2016,784,1,191,31
2017,787,1,3,31
2018,703,1,84,30
2019,685,1,18,30
2000,1653,2,0,14
1999,1161,3,0,14
2000,1255,3,94,31
2001,1268,3,13,31
2002,1725,3,457,31
2003,1609,3,116,30
2004,1866,3,257,31
2005,1892,3,26,31
2009,1675,4,0,14
2003,1419,5,0,14
2004,1255,5,164,30
2005,1478,5,223,31
2006,1381,5,97,30
2007,1524,5,143,31
2008,1518,5,6,30
2009,1988,5,470,31
2010,1842,5,146,30
1999,22,6,0,14
2000,46,6,24,31
2001,102,6,56,31
2002,75,6,27,30
2003,81,6,6,31
2004,82,6,1,31
2005,123,6,41,31
2006,122,6,1,30
2007,164,6,42,31
2008,116,6,48,30
2009,157,6,41,31
2010,181,6,24,31
2011,216,6,35,31
2012,93,6,123,30
2013,225,6,132,31
2014,238,6,13,31
2015,236,6,2,30
2016,294,6,58,31
2017,305,6,11,31
2018,304,6,1,30
2019,284,6,20,30
2000,1813,7,0,14
1999,1252,8,0,14
2000,1213,8,39,30
2001,1674,8,461,31
2002,1688,8,14,31
2003,1967,8,279,31
2004,1760,8,207,30
2000,1442,9,0,14
2001,1394,9,48,30
2002,1229,9,165,30
2003,1154,9,75,30
2004,1139,9,15,30
2005,1501,9,362,31
2006,1887,9,386,31
2007,1506,9,381,30
2008,1469,9,37,30
2010,1963,9,0,27
2000,1277,10,0,14
1999,240,11,0,14
2000,450,11,210,31
2001,371,11,79,30
2002,344,11,27,30
2003,239,11,105,30
2004,257,11,18,31
2005,285,11,28,31
2006,253,11,32,30
2007,297,11,44,31
2008,259,11,38,30
2009,195,11,64,30
2010,155,11,40,30
2011,84,11,71,30
2012,31,11,53,30
2013,51,11,20,31
2014,67,11,16,31
2015,82,11,15,31
2016,56,11,26,30
2017,74,11,18,31
2018,90,11,16,31
2019,99,11,9,31
1999,475,12,0,14
2000,583,12,108,31
2001,424,12,159,30
2002,626,12,202,31
2003,836,12,210,31
2004,673,12,163,30
2005,734,12,61,31
2006,668,12,66,30
2007,776,12,108,31
2008,684,12,92,30
2009,855,12,171,31
2010,846,12,9,30
2011,878,12,32,31
2012,428,12,450,30
2013,922,12,494,31
2014,815,12,107,30
2015,861,12,46,31
2016,1164,12,303,31
2017,1424,12,260,31
2018,1399,12,25,30
2019,1570,12,171,31
1999,579,13,0,14
2000,565,13,14,30
2001,752,13,187,31
2002,1024,13,272,31
2003,730,13,294,30
2004,846,13,116,31
2005,1160,13,314,31
2006,1205,13,45,31
2007,1008,13,197,30
2008,978,13,30,30
2009,987,13,9,31
2010,975,13,12,30
2011,1173,13,198,31
2012,966,13,207,30
2013,1367,13,401,31
2014,1338,13,29,30
2015,1344,13,6,31
2016,1300,13,44,30
2017,1559,13,259,31
2018,1681,13,122,31
2019,1897,13,216,31
1999,1095,14,0,14
2000,871,14,224,30
2001,1132,14,261,31
2002,1114,14,18,30
2003,1005,14,109,30
2004,1042,14,37,31
2005,1273,14,231,31
2006,982,14,291,30
2007,846,14,136,30
2008,977,14,131,31
2009,1162,14,185,31
2010,1274,14,112,31
2011,1291,14,17,31
2012,843,14,448,30
2013,1262,14,419,31
2014,1385,14,123,31
2015,1695,14,310,31
1999,239,15,0,14
2000,516,15,277,31
2001,636,15,120,31
2002,740,15,104,31
2003,660,15,80,30
2004,896,15,236,31
2005,891,15,5,30
2006,1253,15,362,31
2007,959,15,294,30
2008,906,15,53,30
2009,1725,15,819,31
2010,1658,15,67,30
2011,1686,15,28,31
1999,1322,16,0,14
2000,1637,16,315,31
2001,1472,16,165,30
2002,1498,16,26,31
2003,1774,16,276,31
2004,1350,16,424,30
2005,1570,16,220,31
2006,1694,16,124,31
2007,1233,16,461,30
2008,1472,16,239,31
2012,1597,16,0,27
2000,1487,17,0,14
2001,1809,17,322,31
2002,1800,17,9,30
2003,1929,17,129,31
2004,1800,17,129,30
2005,1750,17,50,30
2006,1785,17,35,31
2008,1933,17,0,27
