Id,Title,Artist,Year,HighPosition,HighEdition,LowPosition,LowEdition,FirstPosition,FirstEdition,LastPosition,LastEdition,LastPlayTime,Appearances,AppearancesPositions
1,(Everything I Do) I Do It For You,Bryan Adams,1991,55,1999,787,2017,55,1999,685,2019,29-12-2019 13:00-14:00,21,21
2,(Everytime I turn around) Back in love again,LTD,1978,1653,2000,1653,2000,1653,2000,1653,2000,-,1,21
3,(Feels like) Heaven,Fiction Factory,1984,1161,1999,1892,2005,1161,1999,1892,2005,-,7,21
4,(Forever) Live and die,Orchestral Manoeuvres In The Dark,1986,1675,2009,1675,2009,1675,2009,1675,2009,-,1,21
5,(Get your kicks on) Route 66,The Rolling Stones,1964,1255,2004,1988,2009,1419,2003,1842,2010,-,8,21
6,(I Can't Get No) Satisfaction,The Rolling Stones,1965,22,1999,305,2017,22,1999,284,2019,30-12-2019 22:00-23:00,21,21
7,(I don't know why) But I do,Clarence 'Frogman' Henry,1961,1813,2000,1813,2000,1813,2000,1813,2000,-,1,21
8,(I just) Died in your arms tonight,Cutting Crew,1986,1213,2000,1967,2003,1252,1999,1760,2004,-,6,21
9,(If paradise is) Half as nice,Amen Corner,1969,1139,2004,1963,2010,1442,2000,1963,2010,-,10,21
10,(I'll never be) Maria Magdalena,Sandra,1985,1277,2000,1277,2000,1277,2000,1277,2000,-,1,21
11,(Sittin' On)The Dock Of The Bay,Otis Redding,1968,31,2012,450,2000,240,1999,99,2019,31-12-2019 14:00-15:00,21,21
12,(Something Inside) So Strong,Labi Siffre,1987,424,2001,1570,2019,475,1999,1570,2019,26-12-2019 17:00-18:00,21,21
13,(They Long To Be) Close To You,Carpenters,1970,565,2000,1897,2019,579,1999,1897,2019,25-12-2019 16:00-17:00,21,21
14,(Walk Me Out) In The Morning Dew,Long John Baldry,1981,843,2012,1695,2015,1095,1999,1695,2015,-,17,21
15,(We're gonna) Rock around the clock,Bill Haley + The Comets,1955,239,1999,1725,2009,239,1999,1686,2011,-,13,21
16,(Where Do I Begin) Love Story,Andy Williams,1971,1233,2007,1774,2003,1322,1999,1597,2012,-,11,21
17,(You Gotta Walk) Don't Look Back,Peter Tosh,1979,1240,2012,1997,2009,1487,2000,1240,2012,-,10,21
18,(You want to) Make A Memory,Bon Jovi,2007,1332,2007,1938,2009,1332,2007,1857,2012,-,3,13
19,(You're) Having my baby,Paul Anka,1974,1558,2001,1599,1999,1599,1999,1558,2001,-,2,21
20,002.345.709 (that's my number),Trinity,1976,1755,2000,1755,2000,1755,2000,1755,2000,-,1,21
21,1 Nacht Alleen,Doe Maar,1983,921,2012,1988,2010,1756,2004,1511,2013,-,9,21
22,100 Years,Joey Dyser,1975,709,1999,1794,2011,709,1999,1614,2013,-,15,21
23,15 Miljoen Mensen,Fluitsma + Van Tijn,1996,572,1999,1965,2010,572,1999,1843,2018,25-12-2018 20:00-21:00,14,21
24,19,Paul Hardcastle,1985,1343,2000,1868,2012,1343,2000,1868,2012,-,3,21
25,1948,Gerard Cox,1972,1721,2003,1934,2004,1721,2003,1934,2004,-,2,21
26,1973,James Blunt,2007,1317,2012,1931,2009,1931,2009,1619,2013,-,5,13
27,1999,Prince,1982,190,1999,1540,2007,190,1999,681,2019,29-12-2019 13:00-14:00,21,21
28,19th Nervous Breakdown,The Rolling Stones,1966,1596,2004,1927,2012,1596,2004,1927,2012,-,3,21
29,2.000 Light Years From Home,The Rolling Stones,1967,1317,2006,1905,2010,1468,2005,1727,2012,-,8,21
30,2000 Miles,The Pretenders,1983,1306,2000,1914,2004,1469,1999,1717,2012,-,6,21
31,24 hours from Tulsa,Gene Pitney,1964,1101,1999,1986,2004,1101,1999,1900,2008,-,8,21
32,24 Rozen,Toon Hermans,1967,706,2001,1754,2013,752,1999,1754,2013,-,15,21
33,25 Or 6 To 4,Chicago,1970,382,2001,1472,2019,457,1999,1472,2019,27-12-2019 00:00-1:00,21,21
34,36-24-36,Shadows,1961,1271,2003,1894,2008,1470,1999,1894,2008,-,7,21
35,'39,Queen,1975,440,2012,1431,2005,1431,2005,828,2019,29-12-2019 01:00-2:00,15,21
36,5 Uur,Ramses Shaffy,1966,444,2009,1977,2013,1823,2006,1977,2013,-,6,21
37,50 Ways To Leave Your Lover,Paul Simon,1976,617,2001,1263,2005,836,1999,1220,2019,27-12-2019 20:00-21:00,20,21
38,50 Ways to Say Goodbye,Train,2012,714,2012,1531,2013,714,2012,1531,2013,-,2,8
39,7 Seconds,Youssou N'Dour + Neneh Cherry,1994,280,1999,1727,2019,280,1999,1727,2019,26-12-2019 05:00-6:00,21,21
40,'74-'75,The Connells,1995,886,2012,1630,2013,886,2012,1630,2013,-,2,21
41,9 Crimes,Damien Rice,2006,273,2016,1492,2012,1492,2012,706,2019,29-12-2019 11:00-12:00,8,14
42,9 To 5,Dolly Parton,1981,913,2019,1995,2006,1512,1999,913,2019,28-12-2019 19:00-20:00,12,21
43,99,Toto,1980,1888,2012,1954,2006,1954,2006,1888,2012,-,2,21
44,99 Luftballons,Nena,1983,144,2003,543,2011,234,1999,407,2019,30-12-2019 11:00-12:00,21,21
45,A Boy Named Sue,Johnny Cash,1969,216,2012,1471,1999,1471,1999,502,2019,30-12-2019 04:00-5:00,20,21
46,A Brand New Day,The Wiz Stars,1978,714,2000,1927,2015,766,1999,1927,2015,-,17,21
47,A Change Is Gonna Come,Sam Cooke,1964,847,2015,1830,2012,1830,2012,1443,2019,27-12-2019 02:00-3:00,8,21
48,A Day In The Life,The Beatles,1967,49,2007,330,2019,83,1999,330,2019,30-12-2019 18:00-19:00,21,21
49,A Different Corner,George Michael,1986,460,1999,1354,2016,460,1999,628,2019,29-12-2019 17:00-18:00,21,21
50,A Face In The Crowd,Tom Petty,1990,1039,2012,1981,2011,1773,2007,1561,2017,26-12-2017 19:00-20:00,7,21
51,A Far L'Amore Comincia Tu,Raffaela Carra,1977,1726,1999,1726,1999,1726,1999,1726,1999,-,1,21
52,A Forest,The Cure,1980,40,2016,87,2005,44,2000,44,2019,31-12-2019 19:00-20:00,20,21
53,A Gentleman's Excuse Me,Fish,1990,556,2013,1037,2018,730,2007,890,2019,28-12-2019 21:00-22:00,12,21
54,A Good Heart,Feargal Sharkey,1985,766,2000,1926,2014,1018,1999,1926,2014,-,16,21
55,A Groovy Kind Of Love,Phil Collins,1988,645,1999,1960,2007,645,1999,1438,2012,-,11,21
56,A guy is a guy,Doris Day,1952,1751,1999,1751,1999,1751,1999,1751,1999,-,1,21
57,A Hard Day's Night,The Beatles,1964,502,1999,1626,2015,502,1999,1506,2019,26-12-2019 22:00-23:00,21,21
58,A Horse With No Name,America,1972,96,2002,391,2019,175,1999,391,2019,30-12-2019 12:00-13:00,21,21
59,A Kind Of Magic,Queen,1986,322,2000,918,2017,322,2000,582,2019,29-12-2019 21:00-22:00,20,21
60,A legal matter,Who,1966,1649,2000,1649,2000,1649,2000,1649,2000,-,1,21
61,A little bit me  a little bit you,Monkees,1967,1917,2000,1917,2000,1917,2000,1917,2000,-,1,21
62,A Little Less Conversation,JXL + Elvis Presley,2002,745,2012,1855,2018,1567,2007,1826,2019,25-12-2019 22:00-23:00,12,18
63,A Long December,Counting Crows,1996,519,2007,1844,2018,519,2007,1824,2019,25-12-2019 22:00-23:00,13,21
64,A man without love,Engelbert Humperdinck,1968,1899,1999,1899,1999,1899,1999,1899,1999,-,1,21
65,A Message To You  Rudy,The Specials,1980,1003,2004,1897,2005,1650,2000,1584,2014,-,10,21
66,A must to avoid,Herman's Hermits,1965,1977,2000,1977,2000,1977,2000,1977,2000,-,1,21
67,A Night Like This,Caro Emerald,2009,22,2010,1200,2019,22,2010,1200,2019,27-12-2019 21:00-22:00,10,11
68,A Piece Of The Action,The Babys,1978,793,2001,1983,2015,793,2001,1919,2017,25-12-2017 15:00-16:00,17,21
69,A Real Mother For Ya,Johnny Guitar Watson,1977,824,1999,1872,2016,824,1999,1872,2016,25-12-2016 19:00-20:00,18,21
70,A routine day,Klaatu,1979,558,2001,1894,2006,686,2000,1776,2008,-,8,21
71,A Salty Dog,Procol Harum,1969,591,2002,1923,2015,755,1999,1923,2015,-,17,21
72,A Thing Called Love,Johnny Cash,1972,698,2012,1642,2002,1325,1999,1227,2019,27-12-2019 19:00-20:00,21,21
73,A Thousand Miles,Vanessa Carlton,2002,1493,2012,1969,2005,1969,2005,1493,2012,-,3,18
74,A Town Called Malice,The Jam,1980,1067,2012,1723,2017,1067,2012,1723,2017,26-12-2017 06:00-7:00,6,21
75,A View To A  Kill,Duran Duran,1985,1063,1999,2000,2012,1063,1999,1867,2015,-,9,21
76,A Whiter Shade Of Pale,Procol Harum,1967,10,1999,162,2019,10,1999,162,2019,31-12-2019 08:00-9:00,21,21
77,A world of our own,Seekers,1965,1550,1999,1678,2002,1550,1999,1678,2002,-,2,21
78,A world without love,Peter + Gordon,1964,1810,2000,1810,2000,1810,2000,1810,2000,-,1,21
79,Aan De Kust,BLOF,1998,57,2000,394,2019,162,1999,394,2019,30-12-2019 12:00-13:00,21,21
80,Aanzoek Zonder Ringen,BLOF,2007,251,2007,1326,2008,251,2007,1285,2019,27-12-2019 14:00-15:00,13,13
81,ABC,Jackson 5,1970,1297,2009,1981,2004,1579,2001,1826,2015,-,8,21
82,Abergavenny,Marty Wilde,1968,1790,1999,1814,2000,1790,1999,1814,2000,-,2,21
83,Abracadabra,Steve Miller Band,1982,1241,2000,1904,2005,1272,1999,1703,2012,-,11,21
84,Absolute Beginners,David Bowie,1986,586,2016,1788,2007,651,2000,981,2019,28-12-2019 14:00-15:00,20,21
85,Accidentally In Love,Counting Crows,2004,726,2012,1958,2019,1305,2009,1958,2019,25-12-2019 11:00-12:00,11,16
86,Across The Universe,The Beatles,1970,769,2007,1832,2018,945,1999,1832,2018,25-12-2018 21:00-22:00,17,21
87,Action,Sweet,1975,361,2000,361,2000,361,2000,361,2000,-,1,21
88,Addicted To Love,Robert Palmer,1986,1092,2001,1956,2007,1273,1999,1603,2012,-,12,21
89,Adem mijn adem,Peter Schaap,1975,1592,2007,1857,2005,1716,2003,1763,2008,-,6,21
90,Ademnood,Linda  Roos + Jessica,1995,1596,1999,1596,1999,1596,1999,1596,1999,-,1,21
91,Adiemus,Adiemus,1995,638,2001,1949,2014,638,2001,1796,2015,-,15,21
92,Adios amigo,Jim Reeves,1962,1558,2007,1558,2007,1558,2007,1558,2007,-,1,21
93,Adios Nonino,Carel Kraayenhof,2002,999,2007,1955,2013,1310,2006,1693,2014,-,9,18
94,Advertising Space,Robbie Williams,2005,1359,2012,1995,2010,1379,2007,1359,2012,-,4,15
95,Africa,Toto,1982,8,2018,110,2007,34,1999,11,2019,31-12-2019 22:00-23:00,21,21
96,Afrikaan Beat,Bert Kaempfert,1962,997,2001,1988,2011,1413,2000,1763,2012,-,13,21
97,Afscheid,Volumia!,1998,750,2004,1963,2013,760,2001,1963,2013,-,10,21
98,Afscheid,Glennis Grace,2011,559,2012,1798,2015,641,2011,1798,2015,-,5,9
99,Afscheid Nemen Bestaat Niet,Marco Borsato,2003,145,2009,852,2017,156,2006,815,2019,29-12-2019 02:00-3:00,14,17
100,After Midnight,Eric Clapton,1970,938,2003,1708,2005,938,2003,1641,2014,-,12,21
101,After Midnight,J.J. Cale,1972,485,2013,1509,2019,913,1999,1509,2019,26-12-2019 22:00-23:00,20,21
102,After The Love Has Gone,Earth  Wind + Fire,1979,1037,2001,1991,2016,1390,1999,1988,2017,25-12-2017 10:00-11:00,18,21
103,Afternoon delight,Starland Vocal Band,1976,990,1999,1947,2004,990,1999,1581,2005,-,7,21
104,Against All Odds,Phil Collins,1984,98,1999,395,2007,98,1999,269,2019,30-12-2019 23:00-24:00,21,21
105,Against The Wind,Bob Seger,1980,283,2007,1971,2017,881,1999,1971,2017,25-12-2017 11:00-12:00,19,21
106,Agata,Nino Ferrer,1970,1989,1999,1989,1999,1989,1999,1989,1999,-,1,21
107,Ai Se Eu Te Pego!,Michel Telo,2011,989,2012,989,2012,989,2012,989,2012,-,1,9
108,Ain't No Mountain High Enough,Diana Ross,1970,1124,1999,1812,2013,1124,1999,1812,2013,-,14,21
109,Ain't no pleasing you,Chas + Dave,1982,1935,1999,1935,1999,1935,1999,1935,1999,-,1,21
